Lost,Total Datagrams,Loss Rate (%)
3523,70046,5.02955200868001
3519,70046,5.023841475601747
3480,70025,4.96965369510889
3411,70026,4.871047896495587
3535,70035,5.047476261869066
3570,70020,5.098543273350471
6166,70042,8.803819935685121
3556,70014,5.078984203159368
3467,70012,4.952008227161058
3441,70014,4.914731339446397
3474,70061,4.958536132798561
3497,70020,4.994287346472436
3569,70021,5.097042315876665
3517,70019,5.022922349647953
3468,70025,4.952516958229205
3600,70063,5.138232733397086
3509,70000,5.0128571428571425
3524,70043,5.031195122995874
3533,70033,5.044764610969114
3518,69997,5.025929682700688
4368,70063,6.23438904985513
5688,70018,8.124873771871698
3559,70026,5.082397966469597
3459,70018,4.940158245022708
3402,70018,4.858750606986774
3520,70039,5.025771355958823
3398,70051,4.850751595266306
3594,69996,5.134579118806789
3496,70026,4.992431382629309
3483,70001,4.975643205097071
3437,70091,4.903625287126736
3546,70024,5.063978064663544
3519,70016,5.025994058500914
3535,70043,5.046899761575033
3509,70033,5.010495052332472
3589,70013,5.126190850270664
6290,70003,8.986274216441082
3500,70062,4.995575347549313
3565,70003,5.0926388869048465
3557,70016,5.080267367458866
3531,70056,5.040253511476533
3452,70015,4.9303720631293295
3462,70031,4.943525010352558
3508,70053,5.007637074786233
3500,70014,4.999000199960008
3458,69998,4.9401411468899115
3490,70028,4.9837207973953275
3520,70034,5.02613016534826
3571,70020,5.099971436732362
3619,70079,5.164171863182979
3543,69992,5.062007086524174
5915,70045,8.445988416368422
3522,70014,5.030422486931185
3542,70024,5.058265737461442
3531,70048,5.040829145728643
3579,70034,5.110374960733358
4454,69630,6.396668102829241
5543,70395,7.874138788266212
6026,70045,8.603040902277108
3889,70037,5.552779245256079
3527,70030,5.03641296587177
3449,70028,4.925172788027646
3479,70012,4.969148146032109
3474,70019,4.961510447164342
3560,70037,5.083027542584634
3915,70046,5.58918425034977
6306,70017,9.006850174909468
3555,70048,5.075091365920511
3636,70015,5.193172891523245
3647,70004,5.2097023027255585
3550,70050,5.067808708065667
3482,70044,4.971160984524013
3494,70008,4.990858187635698
3628,70026,5.1809327963899126
3407,70027,4.865266254444714
3484,70028,4.975152796024447
3532,70036,5.043120680792735
3771,70028,5.384988861598218
3522,70015,5.030350639148754
3584,70036,5.11736821063453
3498,70031,4.994930816352758
6151,70001,8.787600926119262
3431,70057,4.897440655466263
3470,70035,4.954665524380667
3495,69991,4.993499164178251
3497,70029,4.993645489725685
3574,70045,5.102434149475337
3529,70018,5.04013253734754
3601,70046,5.140907403706136
3440,70043,4.911268792027754
3373,70008,4.818020797623128
3533,70000,5.047142857142857
3505,70044,5.0039974872937005
3473,70055,4.957533366640496
3452,70004,4.9311467916119085
3523,70024,5.031132183251456
6276,70033,8.962152614081017
